乱世佳人,1939,9.3,659892
素媛,2013,9.3,654877
飞屋环游记,2009,9.1,1266765
我不是药神,2018,9.0,2006186
何以为家,2018,9.1,996588
摔跤吧！爸爸,2016,9.0,1504706
十二怒汉,1957,9.4,462827
哈尔的移动城堡,2004,9.1,968888
鬼子来了,2000,9.3,597378
少年派的奇幻漂流,2012,9.1,1299210
猫鼠游戏,2002,9.1,959148
让子弹飞,2010,9.0,1618958
大话西游之月光宝盒,1995,9.0,1170273
钢琴家,2002,9.3,596537
天空之城,1986,9.2,784572
海蒂和爷爷,2015,9.3,554574
指环王2：双塔奇兵,2002,9.2,717374
闻香识女人,1992,9.1,839287
天堂电影院,1988,9.2,655326
罗马假日,1953,9.1,913028
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,411795
死亡诗社,1989,9.2,681524
指环王1：护戒使者,2001,9.1,808584
黑客帝国,1999,9.1,802200
绿皮书,2018,8.9,1560378
教父2,1974,9.3,523101
狮子王,1994,9.1,798400
辩护人,2013,9.2,567584
饮食男女,1994,9.2,588059
搏击俱乐部,1999,9.0,811806
美丽心灵,2001,9.1,736398
本杰明·巴顿奇事,2008,9.0,942982
穿条纹睡衣的男孩,2008,9.2,532715
窃听风暴,2006,9.2,540454
情书,1995,8.9,1050557
两杆大烟枪,1998,9.1,571875
西西里的美丽传说,2000,8.9,933902
音乐之声,1965,9.1,573746
看不见的客人,2016,8.8,1197084
拯救大兵瑞恩,1998,9.1,619233
飞越疯人院,1975,9.1,527731
小鞋子,1997,9.2,391763
阿凡达,2009,8.8,1338358
哈利·波特与死亡圣器(下),2011,9.0,786281
沉默的羔羊,1991,8.9,844691
禁闭岛,2010,8.9,927055
布达佩斯大饭店,2014,8.9,880669
致命魔术,2006,8.9,820861
蝴蝶效应,2004,8.9,895259
海豚湾,2009,9.3,347243
美国往事,1984,9.2,394637
心灵捕手,1997,8.9,676840
低俗小说,1994,8.9,795327
春光乍泄,1997,9.0,601687
摩登时代,1936,9.3,285593
功夫,2004,8.8,1053781
喜剧之王,1999,8.8,924295
哈利·波特与阿兹卡班的囚徒,2004,8.9,679314
超脱,2011,9.0,552813
七宗罪,1995,8.8,908585
致命ID,2003,8.8,781448
杀人回忆,2003,8.9,675129
红辣椒,2006,9.1,434922
加勒比海盗,2003,8.8,821269
狩猎,2012,9.1,370112
被嫌弃的松子的一生,2006,8.9,678483
7号房的礼物,2013,8.9,532672
请以你的名字呼唤我,2017,8.9,685453
哈利·波特与密室,2002,8.8,706132
一一,2000,9.1,366810
唐伯虎点秋香,1993,8.7,1025787
剪刀手爱德华,1990,8.7,1001789
断背山,2005,8.8,681924
勇敢的心,1995,8.9,542783
